the_geom,school_id,school_nm,sch_addr,grade_cat,grades,sch_type,x,y,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
"{'type': 'Point', 'coordinates': [-87.71954054421475, 41.941093990665564]}",610144,REILLY,"3650 W SCHOOL ST, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.71954054,41.94109399,39,22,21538,138,21
"{'type': 'Point', 'coordinates': [-87.702150961782, 41.95821983970935]}",609792,BATEMAN,"4220 N RICHMOND ST, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70215096,41.95821984,39,16,21538,214,20
"{'type': 'Point', 'coordinates': [-87.6998955904322, 41.87093895657724]}",609722,MANLEY HS,"2935 W POLK ST, 60612",HS,"9, 10, 11, 12",Traditional,-87.69989559,41.87093896,28,28,21184,714,23
"{'type': 'Point', 'coordinates': [-87.59737971846877, 41.780411905133576]}",400077,U OF C - WOODLAWN HS,"6300 S UNIVERSITY AVE, 60637",HS,"6, 7, 8, 9, 10, 11, 12",Traditional,-87.59737972,41.78041191,60,9,22260,27,4
"{'type': 'Point', 'coordinates': [-87.67220640215815, 41.80234286831759]}",610239,DALEY,"5024 S WOLCOTT AVE, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.6722064,41.80234287,37,59,14924,709,4
"{'type': 'Point', 'coordinates': [-87.74927555445298, 41.873586780994344]}",610305,LELAND,"512 S LAVERGNE AVE, 60644",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.74927555,41.87358678,32,26,22216,184,7
"{'type': 'Point', 'coordinates': [-87.63930546894748, 41.715665358326255]}",610362,EVERS,"9811 S LOWE AVE, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.63930547,41.71566536,19,72,21861,593,22
"{'type': 'Point', 'coordinates': [-87.6263382821909, 41.88274025791458]}",400098,NOBLE - MUCHIN HS,"1 N STATE ST, 60602",HS,"9, 10, 11, 12",Traditional,-87.62633828,41.88274026,41,38,14310,580,36
"{'type': 'Point', 'coordinates': [-87.71820414376178, 41.93572646709454]}",400172,ASPIRA - BUSINESS & FINANCE HS,"2989 N. MILWAUKEE AVE, 60618",HS,"9, 10, 11, 12",Traditional,-87.71820414,41.93572647,39,22,21538,215,21
"{'type': 'Point', 'coordinates': [-87.66843588179452, 41.79758027081721]}",609929,FULTON,"5300 S HERMITAGE AVE, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.66843588,41.79758027,37,59,14924,789,2
"{'type': 'Point', 'coordinates': [-87.67481841837024, 42.01303148982044]}",400035,CHICAGO MATH & SCIENCE HS,"7212 N CLARK ST, 60626",HS,"6, 7, 8, 9, 10, 11, 12",Traditional,-87.67481842,42.01303149,9,10,21853,489,5
