table_name, num_of_neighbors
vacq-ce69.csv,3686
c284-tqph.csv,3682
73bd-vkmx.csv,3663
crbs-vur7.csv,3662
acd4-wkax.csv,3661
6wee-b7wf.csv,3659
9ck8-hj3u.csv,3657
c5ft-upv9.csv,3648
ewhs-k7um.csv,3642
ebu5-jrfz.csv,3631
kewp-r7r7.csv,3625
62mr-ukqs.csv,3617
w2pb-icbu.csv,3614
uzcy-9puk.csv,3613
m3fi-rt3k.csv,3610
thjb-fm53.csv,3602
3rfa-3xsf.csv,3597
is5y-7g3y.csv,3595
242c-ru4i.csv,3586
s7yh-frbm.csv,3584
9f5k-vxxv.csv,3580
ivix-m77e.csv,3574
xn3r-zk6y.csv,3563
g2j4-eudg.csv,3563
gez6-674h.csv,3552
ju3b-rwpy.csv,3550
tvfr-dhen.csv,3537
szq8-b4uy.csv,3529
mmvm-mvi3.csv,3528
bqiq-cu78.csv,3520
kkng-ugna.csv,3519
cbfr-z7aj.csv,3519
cera-vfws.csv,3511
hyur-qpyf.csv,3500
2dzy-e7cu.csv,3499
yz7z-iupz.csv,3494
9hyh-zkx9.csv,3487
dsif-42wj.csv,3482
49kg-8sce.csv,3477
ck4n-5h6x.csv,3473
h2mm-eazk.csv,3471
qmc5-z72r.csv,3465
5a8g-vpdd.csv,3451
9cz6-8qpz.csv,3446
acek-a5z6.csv,3439
ibip-ftv5.csv,3437
h5j6-bv4u.csv,3432
5uei-swth.csv,3432
m59i-mqex.csv,3419
f9tw-8p66.csv,3419
hpzm-w4pt.csv,3416
urc8-8bjy.csv,3411
f42p-xqaa.csv,3408
53m8-jdtg.csv,3405
uxsz-6j5j.csv,3394
4cjm-3vyv.csv,3389
irhv-jqz7.csv,3381
rq2f-42ua.csv,3371
vza7-n6vi.csv,3367
s3zn-tf7c.csv,3367
sgxc-mnpk.csv,3363
8dhd-zvi6.csv,3360
vyxt-abab.csv,3350
tyfh-9h2y.csv,3343
kpjg-ubxi.csv,3336
mtt6-ywt4.csv,3333
xyq2-jjkn.csv,3329
egnf-uyp9.csv,3328
q2ni-ztsb.csv,3327
4dx7-axux.csv,3327
6pv9-jmn5.csv,3326
ez4e-fazm.csv,3325
4axi-di9c.csv,3322
qphc-zrtc.csv,3312
cr93-x2xf.csv,3310
vqix-8bak.csv,3308
jign-uhe6.csv,3308
jtus-srrj.csv,3296
5x8i-3c5b.csv,3296
buk3-3qpr.csv,3291
arzb-yfdv.csv,3270
s27g-2w3u.csv,3263
35sw-rdxj.csv,3262
siju-6isf.csv,3260
yg3y-7juh.csv,3257
ujnu-3rei.csv,3255
bm9v-cvch.csv,3253
vmbc-b9fa.csv,3236
5fn4-dr26.csv,3236
8kic-uvpz.csv,3233
xrwg-eczf.csv,3225
wr4r-bue7.csv,3225
udss-6pus.csv,3225
dpm2-m9mq.csv,3223
eukp-v77b.csv,3220
pvqr-7yc4.csv,3213
6je4-4x7e.csv,3212
